obra,autor_yaml,grupo,termo_encontrado,pagina,posicao_no_texto,contexto_antes,trecho_central,contexto_depois,descartado_por_exclusao
latour_1987_science_action_en,latour,topologia,outside,1,522404,engineers were; we pursued it by adding more and more,outside,people to the making of science; we then stumbled on,0
latour_1987_science_action_en,latour,topologia,boundaries,1,526070,whole responsibility for producing facts to a happy few. The,boundaries,of science are traced not in terms of the primary,0
latour_1987_science_action_en,latour,topologia,inside,1,527129,on the right side scientists are striving to position themselves,inside,projects carried out by many others. To remind us of,0
latour_1987_science_action_en,latour,topologia,outside,1,527637,and technology' has an esoteric content the further they extend,outside,"Thus, 'science and technology' is only a sub-set which seems",0
latour_1987_science_action_en,latour,topologia,boundaries,1,529722,"rule of method, we should be symmetrical and doubt the",boundaries,of scientific professions as much as those of `science and,0
latour_1987_science_action_en,latour,topologia,boundaries,1,529882,the name of the game will be to leave the,boundaries,open and to close them only when the people we,0
latour_1987_science_action_en,latour,topologia,inside,1,531882,"technoscience is made of; to do so, every time an",inside,"division is built, we should follow the two sides simultaneously,",0
latour_1987_science_action_en,latour,topologia,outside,1,531889,"technoscience is made of; to do so, every time an",outside,"division is built, we should follow the two sides simultaneously,",0
latour_1987_science_action_en,latour,topologia,nodes,1,535255,resources are concentrated in a few places-the knots and the,nodes,are connected with one another-the links and the mesh: these,0
latour_1987_science_action_en,latour,topologia,connected,1,535271,concentrated in a few places-the knots and the nodes-which are,connected,with one another-the links and the mesh: these connections transform,0
latour_1987_science_action_en,latour,topologia,mesh,1,535316,the nodes-which are connected with one another-the links and the,mesh,these connections transform the scattered resources into a net that,0
latour_1987_science_action_en,latour,topologia,connections,1,535328,are connected with one another-the links and the mesh: these,connections,transform the scattered resources into a net that may seem,0
latour_1987_science_action_en,latour,topologia,mesh,1,536038,"are not part of the networks, who fall through the",mesh,"of the net. So far, we have followed scientists and",0
latour_1987_science_action_en,latour,topologia,mesh,1,536939,study in this chapter is what is in between the,mesh,"of the networks; then, in Chapter 6 we will tackle",0
